DATE,NC000334Q
2013-10-01,95.188
2014-01-01,95.89
2014-04-01,96.586
2014-07-01,96.747
2014-10-01,96.523
2015-01-01,96.66
2015-04-01,97.494
2015-07-01,97.536
2015-10-01,97.417
2016-01-01,97.386
2016-04-01,98.374
2016-07-01,98.512
2016-10-01,98.56
2017-01-01,99.48
2017-04-01,99.944
2017-07-01,100.167
2017-10-01,100.41
2018-01-01,101.467
2018-04-01,102.421
2018-07-01,102.541
2018-10-01,102.73
2019-01-01,103.43
2019-04-01,104.225
2019-07-01,104.188
2019-10-01,104.188
2020-01-01,104.928
2020-04-01,104.997
2020-07-01,105.549
2020-10-01,106.152
2021-01-01,107.599
2021-04-01,109.677
2021-07-01,110.966
2021-10-01,112.638
2022-01-01,115.04
2022-04-01,118.023
2022-07-01,119.165
2022-10-01,119.754
2023-01-01,120.878
2023-04-01,122.135
2023-07-01,122.794
2023-10-01,122.919
