DATE,PCEPI
2014-01-01,96.614
2014-02-01,96.66
2014-03-01,96.815
2014-04-01,96.987
2014-05-01,97.147
2014-06-01,97.253
2014-07-01,97.391
2014-08-01,97.379
2014-09-01,97.413
2014-10-01,97.384
2014-11-01,97.291
2014-12-01,97.12
2015-01-01,96.654
2015-02-01,96.825
2015-03-01,97.008
2015-04-01,97.094
2015-05-01,97.327
2015-06-01,97.516
2015-07-01,97.605
2015-08-01,97.612
2015-09-01,97.477
2015-10-01,97.477
2015-11-01,97.538
2015-12-01,97.456
2016-01-01,97.496
2016-02-01,97.445
2016-03-01,97.673
2016-04-01,97.993
2016-05-01,98.153
2016-06-01,98.325
2016-07-01,98.342
2016-08-01,98.479
2016-09-01,98.666
2016-10-01,98.868
2016-11-01,98.901
2016-12-01,99.071
2017-01-01,99.451
2017-02-01,99.586
2017-03-01,99.535
2017-04-01,99.725
2017-05-01,99.682
2017-06-01,99.766
2017-07-01,99.803
2017-08-01,100.027
2017-09-01,100.4
2017-10-01,100.531
2017-11-01,100.675
2017-12-01,100.821
2018-01-01,101.199
2018-02-01,101.416
2018-03-01,101.524
2018-04-01,101.766
2018-05-01,101.941
2018-06-01,102.029
2018-07-01,102.137
2018-08-01,102.208
2018-09-01,102.418
2018-10-01,102.595
2018-11-01,102.63
2018-12-01,102.701
2019-01-01,102.714
2019-02-01,102.862
2019-03-01,103.056
2019-04-01,103.371
2019-05-01,103.426
2019-06-01,103.469
2019-07-01,103.608
2019-08-01,103.661
2019-09-01,103.754
2019-10-01,103.961
2019-11-01,103.997
2019-12-01,104.282
2020-01-01,104.458
2020-02-01,104.551
2020-03-01,104.238
2020-04-01,103.796
2020-05-01,103.89
2020-06-01,104.199
2020-07-01,104.541
2020-08-01,104.869
2020-09-01,105.048
2020-10-01,105.124
2020-11-01,105.197
2020-12-01,105.707
2021-01-01,106.145
2021-02-01,106.522
2021-03-01,107.066
2021-04-01,107.662
2021-05-01,108.207
2021-06-01,108.755
2021-07-01,109.28
2021-08-01,109.74
2021-09-01,110.096
2021-10-01,110.808
2021-11-01,111.494
2021-12-01,112.24
2022-01-01,112.829
2022-02-01,113.496
2022-03-01,114.446
2022-04-01,114.789
2022-05-01,115.446
2022-06-01,116.495
2022-07-01,116.511
2022-08-01,116.89
2022-09-01,117.314
2022-10-01,117.842
2022-11-01,118.104
2022-12-01,118.348
2023-01-01,119.011
2023-02-01,119.386
2023-03-01,119.53
2023-04-01,119.893
2023-05-01,120.02
2023-06-01,120.221
2023-07-01,120.373
2023-08-01,120.803
2023-09-01,121.267
2023-10-01,121.319
2023-11-01,121.307
2023-12-01,121.451
2024-01-01,121.87
